Company,Debt_Score,Profit_Score,Liquidity_Score,Efficiency_Score,PRS_Score,Lower_Bound,Upper_Bound,Uncertainty,Anomaly,Risk_Level
TRUIST FINANCIAL CORP,21.33,12.86,18.07,24.62,76.88,70.8,82.96,6.08,Normal,High Risk
LOEWS CORP,18.76,15.71,23.35,17.94,75.76,69.13,82.39,6.63,Normal,High Risk
KEYCORP /NEW/,21.57,5.69,24.42,24.04,75.72,69.09,82.35,6.63,Normal,High Risk
AGNC Investment Corp.,21.71,6.93,23.63,23.05,75.32,68.71,81.93,6.61,Normal,High Risk
AMERIPRISE FINANCIAL INC,23.05,8.09,22.05,22.12,75.31,69.3,81.32,6.01,Normal,High Risk
Roblox Corp,22.91,24.55,10.46,17.35,75.27,69.26,81.28,6.01,Normal,High Risk
"AMERICAN INTERNATIONAL GROUP, INC.",17.97,13.24,24.18,19.68,75.07,68.47,81.67,6.6,Normal,High Risk
FIFTH THIRD BANCORP,21.78,3.77,24.59,24.18,74.32,68.35,80.29,5.97,Normal,High Risk
J M SMUCKER Co,15.12,24.14,22.74,11.97,73.97,66.81,81.13,7.16,Normal,High Risk
"CONSTELLATION BRANDS, INC.",15.71,22.98,23.56,11.66,73.91,67.95,79.87,5.96,Normal,High Risk
Antero Midstream Corp,15.47,22.12,17.66,18.48,73.73,67.78,79.68,5.95,Normal,High Risk
CHART INDUSTRIES INC,15.16,19.92,16.56,22.05,73.69,67.74,79.64,5.95,Normal,High Risk
Restaurant Brands International Inc.,19.38,22.22,17.83,14.16,73.59,67.65,79.53,5.94,Normal,High Risk
Vistra Corp.,21.09,18.9,20.68,12.79,73.46,67.52,79.4,5.94,Normal,High Risk
"HEALTHPEAK PROPERTIES, INC.",12.96,21.43,18.35,20.54,73.28,67.35,79.21,5.93,Normal,High Risk
US BANCORP DE,22.09,5.25,21.98,23.9,73.22,67.29,79.15,5.93,Normal,High Risk
ENTEGRIS INC,23.7,17.04,18.45,13.92,73.11,66.59,79.63,6.52,Normal,High Risk
CITIZENS FINANCIAL GROUP INC/RI,21.4,6.24,20.85,24.28,72.77,66.86,78.68,5.91,Normal,High Risk
"Rocket Companies, Inc.",14.37,23.03,14.57,20.78,72.75,66.84,78.66,5.91,Normal,High Risk
WEBSTER FINANCIAL CORP,21.47,3.26,23.49,24.45,72.67,66.16,79.18,6.51,Normal,High Risk
Bank of New York Mellon Corp,22.05,4.7,22.09,23.83,72.67,66.76,78.58,5.91,Normal,High Risk
WELLS FARGO & COMPANY/MN,20.35,5.56,24.85,21.84,72.6,66.1,79.1,6.5,Normal,High Risk
ANNALY CAPITAL MANAGEMENT INC,21.3,5.49,22.12,23.35,72.26,65.77,78.75,6.49,Normal,High Risk
FIRST HORIZON CORP,21.64,4.29,22.26,24.01,72.2,66.31,78.09,5.89,Normal,High Risk
"EVEREST GROUP, LTD.",18.24,15.67,21.78,16.26,71.95,66.07,77.83,5.88,Normal,High Risk
"Viper Energy, Inc.",2.67,23.7,23.7,21.64,71.71,65.84,77.58,5.87,Normal,High Risk
M&T BANK CORP,20.92,4.12,22.94,23.7,71.68,65.81,77.55,5.87,Normal,High Risk
Kraft Heinz Co,9.67,24.45,15.23,22.19,71.54,65.68,77.4,5.86,Normal,High Risk
"Lineage, Inc.",10.49,23.25,21.36,16.29,71.39,65.53,77.25,5.86,Normal,High Risk
OLD REPUBLIC INTERNATIONAL CORP,19.48,14.61,21.54,15.64,71.27,64.82,77.72,6.45,Normal,High Risk
Ares Management Corp,16.53,13.68,21.06,19.65,70.92,64.48,77.36,6.44,Normal,High Risk
IRON MOUNTAIN INC,8.33,23.15,21.4,17.97,70.85,64.42,77.28,6.43,Normal,High Risk
AMERICAN EXPRESS CO,21.54,2.61,24.31,22.36,70.82,64.99,76.65,5.83,Normal,High Risk
GLOBE LIFE INC.,19.62,7.72,24.38,18.69,70.41,64.59,76.23,5.82,Normal,High Risk
