Unnamed: 0,Company,CIK,Revenue,NetIncome,Assets,Liabilities,Cash,Risk Level,Data_Completeness
85,"Meta Platforms, Inc.",1326801,40.65,48.450000000000486,366.02,148.78,35.87,Low Risk,100.0
86,Philip Morris International Inc.,1413329,40.65,11.35,69.19,77.21,4.87,High Risk,100.0
87,DOLLAR GENERAL CORP,29534,40.61,1.13,31.13,9.445,0.93,Low Risk,80.0
88,"T-Mobile US, Inc.",1283699,40.6,10.99,219.24,6.83,5.6,Low Risk,100.0
89,"CBRE GROUP, INC.",1138118,40.55,1.16,30.88,21.25,1.86,Medium Risk,100.0
90,DOW INC.,1751788,39.97,0.98,58.54,9.445,3.82,Low Risk,60.0
91,US Foods Holding Corp.,1665918,39.42,0.68,13.94,9.64,0.04,Medium Risk,100.0
92,"Mondelez International, Inc.",1103982,38.54,2.45,71.49,45.6,4.47,Medium Risk,100.0
93,GE Vernova Inc.,1996810,38.07,4.88,63.02,50.72,0.3725,High Risk,80.0
94,"United Airlines Holdings, Inc.",100517,37.74,3.35,76.45,9.445,5.94,Low Risk,80.0
95,CRH PUBLIC LTD CO,849395,37.45,3.75,58.33,32.85,4.1,Medium Risk,100.0
96,STARBUCKS CORP,829224,37.18,1.86,32.02,40.11,6.46,High Risk,100.0
97,HONEYWELL INTERNATIONAL INC,773840,36.53,4.73,73.68,9.445,12.49,Low Risk,80.0
98,ADVANCED MICRO DEVICES INC,2488,34.64,4.33,76.93,9.445,5.54,Low Risk,80.0
99,"Coupang, Inc.",1834584,34.53,0.21,17.79,13.16,6.32,Medium Risk,100.0
100,Hewlett Packard Enterprise Co,1645590,34.3,0.06,75.91,14.28,5.77,Low Risk,100.0
101,MORGAN STANLEY,895421,34.27,16.86,800.320000000001,680.4260000000021,40.35200000000017,High Risk,100.0
102,HORTON D R INC /DE/,882184,34.25,3.59,35.47,10.73,2.99,Low Risk,100.0
103,LENNAR CORP /NEW/,920760,34.19,2.08,34.43,12.29,3.76,Low Risk,100.0
104,LINDE PLC,1707925,33.99,6.9,86.82,47.08,5.06,Medium Risk,100.0
105,CUMMINS INC,26172,33.67,1.04,33.99,20.58,2.1,Medium Risk,100.0
106,Medtronic plc,1613103,33.54,4.66,91.68,43.42,2.22,Low Risk,100.0
107,"PayPal Holdings, Inc.",1633917,33.17,5.23,80.17,59.92,8.05,Medium Risk,100.0
108,Mastercard Inc,1141391,32.79,3.12,54.16,46.41,10.57,High Risk,100.0
109,"Apollo Global Management, Inc.",1858681,32.05,3.49,460.95,418.43,8.98,High Risk,100.0
110,Smurfit Westrock plc,2005951,31.18,0.7,45.16,26.8,0.89,Medium Risk,100.0
111,Marathon Petroleum Corp,1510295,31.09,4.05,83.95,59.87,3.67,Medium Risk,100.0
112,Ferguson Enterprises Inc. /DE/,2011641,30.76,1.86,17.73,11.9,0.67,Medium Risk,100.0
113,"NRG ENERGY, INC.",1013871,30.71,0.86,29.14,27.46,4.71,High Risk,100.0
114,SLB LIMITED/NV,87347,30.44,3.37,54.87,27.58,3.13,Medium Risk,100.0
115,MICRON TECHNOLOGY INC,723125,30.39,8.54,82.8,28.63,9.64,Low Risk,100.0
116,LyondellBasell Industries N.V.,1489393,30.15,3.4,34.0,9.445,3.44,Low Risk,80.0
117,SOUTHERN CO,92122,29.55,4.34,155.72,116.85,1.64,Medium Risk,100.0
118,TJX COMPANIES INC /DE/,109198,29.08,4.86,31.75,9.445,5.33,Low Risk,80.0
119,MERCADOLIBRE INC,1099590,28.89,2.0,42.67,35.92,3.67,High Risk,100.0
120,FLEX LTD.,866374,28.68,0.84,18.38,13.38,2.29,Medium Risk,100.0
121,US BANCORP DE,36104,28.66,7.57,692.35,626.69,8.25,High Risk,100.0
122,"QUANTA SERVICES, INC.",1050915,28.48,1.03,24.93,15.9,0.44,Medium Risk,100.0
123,PACCAR INC,75362,28.44,2.38,44.34,9.445,3.44,Low Risk,80.0
124,Medline Inc.,2046386,28.43,1.16,38.48,19.2,1.94,Low Risk,100.0
125,"HARTFORD INSURANCE GROUP, INC.",874766,28.37,3.84,86.0,67.02,0.3725,Medium Risk,80.0
