Company,Cluster,Cluster_Label,Debt_Ratio,Profit_Margin,Cash_Ratio,Asset_Efficiency,Return_on_Assets,PRS_Score,Risk_Level
BENTLEY SYSTEMS INC,0,Medium Risk Cluster,0.6657303370786517,0.3835616438356165,0.05063291139240506,0.2050561797752809,0.07865168539325844,53.87,Low Risk
BERKLEY W R CORP,0,Medium Risk Cluster,0.7796687088722487,0.12100611828687967,0.0739231664726426,0.33378715679600635,0.040390288177898796,61.35,Medium Risk
BERKSHIRE HATHAWAY INC,0,Medium Risk Cluster,0.6278363654538177,0.1599569486354973,0.06284952335462814,0.378466113554579,0.060538284686126084,53.82,Low Risk
BEST BUY CO INC,0,Medium Risk Cluster,0.6390392422192152,0.02239345051769805,0.16728427739544732,2.809878213802436,0.06292286874154263,45.6,Low Risk
BIOGEN INC.,0,Medium Risk Cluster,0.37975543478260865,0.13043478260869565,0.2602862254025045,0.3359375,0.043817934782608696,39.41,Low Risk
"BJ's Wholesale Club Holdings, Inc.",0,Medium Risk Cluster,0.7070572569906791,0.027027027027027025,0.009416195856873824,2.857523302263649,0.07723035952063914,61.04,Medium Risk
BLUE OWL CAPITAL INC.,0,Medium Risk Cluster,0.5140336808340016,0.14035087719298248,0.029641185647425898,0.04570970328789093,0.006415396952686447,64.23,Medium Risk
BOEING CO,0,Medium Risk Cluster,0.967546362339515,0.024927341828750282,0.06708440840398083,0.5317403708987161,0.013254873989538753,69.79,High Risk
BORGWARNER INC,0,Medium Risk Cluster,0.5918663761801017,0.019553072625698324,0.22576687116564417,1.0399419026870007,0.020334059549745827,45.34,Low Risk
BOSTON SCIENTIFIC CORP,0,Medium Risk Cluster,0.21628119990840394,0.1079295154185022,0.20857596611964002,0.20792305930844973,0.02244103503549347,43.04,Low Risk
BRISTOL MYERS SQUIBB CO,0,Medium Risk Cluster,0.794424700133274,0.14629591201494085,0.14273731301551798,0.5352065748556196,0.0782985339848956,49.79,Low Risk
"BROADRIDGE FINANCIAL SOLUTIONS, INC.",0,Medium Risk Cluster,0.689695550351288,0.2028985507246377,0.09507640067911716,0.48477751756440285,0.09836065573770493,47.71,Low Risk
"BROWN & BROWN, INC.",0,Medium Risk Cluster,0.12870956985661888,0.17796610169491525,0.2797927461139897,0.19673224408136047,0.03501167055685229,34.77,Low Risk
BROWN FORMAN CORP,0,Medium Risk Cluster,0.5055624227441285,0.2185929648241206,0.1075794621026895,0.4919653893695921,0.10754017305315204,39.61,Low Risk
"BWX Technologies, Inc.",0,Medium Risk Cluster,0.7119437939110072,0.19526627218934914,0.16447368421052633,0.395784543325527,0.0772833723653396,47.18,Low Risk
"BXP, Inc.",0,Medium Risk Cluster,0.7057699656094764,0.08045977011494254,0.08012994044396318,0.1329766908674054,0.010699273977837218,67.97,High Risk
Bank of New York Mellon Corp,0,Medium Risk Cluster,0.905123861952149,0.276394422310757,0.011953495988210251,0.04251535041287317,0.011751005716705483,72.67,High Risk
"BlackRock, Inc.",0,Medium Risk Cluster,0.638,0.4339327599687256,0.1057532730960723,0.07523529411764705,0.03264705882352941,52.12,Low Risk
Blackstone Inc.,0,Medium Risk Cluster,0.541395933766506,0.20899653979238755,0.10181958962446767,0.30287151540557533,0.06329909872144204,46.4,Low Risk
"Block, Inc.",0,Medium Risk Cluster,0.43944374209860937,0.054154609342703594,0.37744533947065595,0.6116308470290772,0.033122629582806574,40.13,Low Risk
Bloom Energy Corp,0,Medium Risk Cluster,0.8181818181818181,-0.1485148514851485,0.6805555555555556,0.45909090909090905,-0.06818181818181818,58.23,Medium Risk
Booking Holdings Inc.,0,Medium Risk Cluster,1.190704032809296,0.01077265973254086,0.49368541905855334,0.9200273410799726,0.009911141490088857,54.21,Low Risk
Booz Allen Hamilton Holding Corp,0,Medium Risk Cluster,0.8632010943912448,0.07846410684474123,0.14104595879556261,1.6388508891928866,0.12859097127222982,48.52,Low Risk
Broadcom Inc.,0,Medium Risk Cluster,0.5248699514875211,0.28249400479616305,0.1801781737193764,0.1218656847273365,0.03442632532585189,44.61,Low Risk
"Builders FirstSource, Inc.",0,Medium Risk Cluster,0.6129893238434163,0.028966425279789335,0.026124818577648767,1.351423487544484,0.03914590747330961,56.86,Medium Risk
Bunge Global SA,0,Medium Risk Cluster,0.21210419941612396,0.011659320346935873,0.12069878242456325,1.5793846844823713,0.018414551987424206,37.95,Low Risk
"Burlington Stores, Inc.",0,Medium Risk Cluster,1.0769669327251996,0.047036688617121354,0.10481736368448914,1.2120866590649944,0.05701254275940707,57.76,Medium Risk
"C. H. ROBINSON WORLDWIDE, INC.",0,Medium Risk Cluster,0.6343873517786561,0.03967720242098184,0.04984423676012461,2.8680135013780084,0.116600790513834,52.42,Low Risk
CACI INTERNATIONAL INC /DE/,0,Medium Risk Cluster,0.5491329479768786,0.11185682326621925,0.023157894736842106,0.5167630057803467,0.057803468208092484,55.96,Medium Risk
CADENCE DESIGN SYSTEMS INC,0,Medium Risk Cluster,0.9305418719211822,0.20943396226415098,0.31762837480148226,0.522167487684729,0.10935960591133005,44.99,Low Risk
CAPITAL ONE FINANCIAL CORP,0,Medium Risk Cluster,0.8301669631246169,0.04585438892008235,0.001193188999862925,0.07986427706611261,0.0036621276214107417,87.02,Very High Risk
CARDINAL HEALTH INC,0,Medium Risk Cluster,0.17780496987951808,0.007008715967292659,0.4097406034939121,2.8680135013780084,0.029367469879518073,29.38,Low Risk
CARLISLE COMPANIES INC,0,Medium Risk Cluster,1.508785942492013,0.148,0.11752249867654845,0.7987220447284346,0.11821086261980832,51.72,Low Risk
CARNIVAL CORP,0,Medium Risk Cluster,0.18272393112787774,0.1461864406779661,0.2043409211222869,0.3652544012381505,0.053395240858966915,35.31,Low Risk
CARPENTER TECHNOLOGY CORP,0,Medium Risk Cluster,0.4584527220630372,0.17592592592592593,0.19999999999999998,0.6189111747851003,0.10888252148997134,33.86,Low Risk
CARRIER GLOBAL Corp,0,Medium Risk Cluster,0.6200591556870126,0.06804597701149426,0.06721595836947095,0.584834632965851,0.03979564399031998,56.3,Medium Risk
CARVANA CO.,0,Medium Risk Cluster,0.6818181818181819,0.06938976377952756,0.2588888888888889,1.5393939393939395,0.10681818181818181,40.92,Low Risk
CASEYS GENERAL STORES INC,0,Medium Risk Cluster,0.5724725943970767,0.034504391468005026,0.07021276595744681,1.9415347137637025,0.06699147381242387,47.97,Low Risk
CATERPILLAR INC,0,Medium Risk Cluster,0.7838303915601542,0.03994673768308921,0.12915749967645918,0.6856360316494219,0.027388922702373707,56.97,Medium Risk
"CBRE GROUP, INC.",0,Medium Risk Cluster,0.6881476683937824,0.028606658446362516,0.08752941176470588,1.3131476683937824,0.03756476683937824,52.6,Low Risk
CDW Corp,0,Medium Risk Cluster,0.3724266999376169,0.09935004642525534,0.10385259631490788,0.6718652526512788,0.06674984404242046,41.19,Low Risk
